,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2014,33,4,0,0,0,3,4,0,13,.121,.211,.121,.332
1,2015,19,6,1,0,0,2,0,0,7,.316,.350,.368,.718
2,2016,6,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,2017,279,74,15,2,16,52,25,1,94,.265,.331,.505,.836
4,2018,492,135,25,0,35,108,58,3,143,.274,.352,.539,.891
5,2019,222,50,9,0,8,34,31,0,59,.225,.320,.374,.694
6,2019,92,24,3,0,4,16,12,0,22,.261,.336,.424,.760
7,2019,314,74,12,0,12,50,43,0,81,.236,.325,.389,.714
8,2020,188,52,10,0,8,34,23,0,40,.277,.352,.457,.809
9,2021,449,117,23,0,22,93,46,4,93,.261,.329,.459,.788
10,2022,415,98,18,0,15,49,27,1,106,.236,.286,.388,.674
11,2022,49,11,1,0,1,2,1,0,13,.224,.240,.306,.546
12,2022,464,109,19,0,16,51,28,1,119,.235,.281,.379,.660
13,2023,104,23,2,0,5,9,8,2,31,.221,.281,.385,.666
14,2014,33,4,0,0,0,3,4,0,13,.121,.211,.121,.332
15,2015,19,6,1,0,0,2,0,0,7,.316,.350,.368,.718
16,2016,6,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,2017,279,74,15,2,16,52,25,1,94,.265,.331,.505,.836
