,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
61,2018,265,59,14,0,5,32,13,0,73,.223,.284,.332,.616
62,2018,108,25,4,1,4,12,3,0,25,.231,.257,.398,.655
63,2018,373,84,18,1,9,44,16,0,98,.225,.276,.351,.627
64,2019,238,54,15,0,6,17,17,0,55,.227,.291,.366,.657
65,2019,11,0,0,0,0,0,2,1,5,.000,.154,.000,.154
66,2019,84,17,4,0,6,10,13,0,26,.202,.316,.464,.780
67,2019,333,71,19,0,12,27,32,1,86,.213,.293,.378,.671
68,2020,135,29,4,0,6,24,27,0,51,.215,.350,.378,.728
69,2021,373,64,10,1,12,36,47,1,127,.172,.272,.300,.572
70,2022,344,64,12,0,15,45,22,0,116,.186,.248,.352,.600
71,2023,227,37,7,0,7,17,19,0,81,.163,.237,.286,.523
72,2011,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
73,2012,233,62,9,0,8,30,17,0,56,.266,.321,.408,.729
74,2013,183,31,7,1,4,22,13,1,53,.169,.236,.284,.520
75,2014,111,26,5,0,4,16,11,1,32,.234,.320,.387,.707
76,2015,229,48,7,0,4,22,23,3,65,.210,.282,.293,.575
77,2016,208,42,7,0,8,21,35,9,56,.202,.332,.351,.683
78,2017,429,95,19,1,14,38,15,1,119,.221,.276,.368,.644
79,2018,265,59,14,0,5,32,13,0,73,.223,.284,.332,.616
80,2018,108,25,4,1,4,12,3,0,25,.231,.257,.398,.655
81,2018,373,84,18,1,9,44,16,0,98,.225,.276,.351,.627
82,2019,238,54,15,0,6,17,17,0,55,.227,.291,.366,.657
83,2019,11,0,0,0,0,0,2,1,5,.000,.154,.000,.154
84,2019,84,17,4,0,6,10,13,0,26,.202,.316,.464,.780
85,2019,333,71,19,0,12,27,32,1,86,.213,.293,.378,.671
86,2020,135,29,4,0,6,24,27,0,51,.215,.350,.378,.728
87,2021,373,64,10,1,12,36,47,1,127,.172,.272,.300,.572
88,2022,344,64,12,0,15,45,22,0,116,.186,.248,.352,.600
