,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,37,10,0,1,1,4,5,0,8,.270,.341,.405,.746
1,2021,498,133,27,4,11,49,42,1,106,.267,.328,.404,.732
2,2022,245,54,9,0,9,33,28,1,67,.220,.300,.367,.667
3,2023,184,35,5,0,7,30,32,0,43,.190,.310,.332,.642
4,2020,37,10,0,1,1,4,5,0,8,.270,.341,.405,.746
5,2021,498,133,27,4,11,49,42,1,106,.267,.328,.404,.732
6,2022,245,54,9,0,9,33,28,1,67,.220,.300,.367,.667
7,2023,184,35,5,0,7,30,32,0,43,.190,.310,.332,.642
8,2020,37,10,0,1,1,4,5,0,8,.270,.341,.405,.746
9,2021,498,133,27,4,11,49,42,1,106,.267,.328,.404,.732
10,2022,245,54,9,0,9,33,28,1,67,.220,.300,.367,.667
11,2023,184,35,5,0,7,30,32,0,43,.190,.310,.332,.642
12,2020,37,10,0,1,1,4,5,0,8,.270,.341,.405,.746
13,2021,498,133,27,4,11,49,42,1,106,.267,.328,.404,.732
14,2022,245,54,9,0,9,33,28,1,67,.220,.300,.367,.667
15,2023,184,35,5,0,7,30,32,0,43,.190,.310,.332,.642
16,2020,37,10,0,1,1,4,5,0,8,.270,.341,.405,.746
17,2021,498,133,27,4,11,49,42,1,106,.267,.328,.404,.732
